20,남,16729
20,여,21915
21,남,17056
21,여,21919
22,남,17437
22,여,21933
23,남,17897
23,여,21993
24,남,18414
24,여,22125
25,남,19000
25,여,22370
26,남,19660
26,여,22733
27,남,20420
27,여,23202
28,남,21296
28,여,23781
29,남,22298
29,여,24471
30,남,23431
30,여,25275
31,남,24695
31,여,26191
32,남,26084
32,여,27223
33,남,27573
33,여,28359
34,남,29154
34,여,29600
35,남,30852
35,여,30956
36,남,27455
36,여,27798
37,남,28994
37,여,29077
38,남,30599
38,여,30463
39,남,32282
39,여,31966
40,남,34077
40,여,33583
41,남,35992
41,여,35325
42,남,38024
42,여,37162
43,남,40189
43,여,39108
44,남,42502
44,여,41160
45,남,44981
45,여,43346
46,남,44273
46,여,42504
47,남,46841
47,여,44771
48,남,49459
48,여,47098
49,남,52023
49,여,49393
50,남,54469
50,여,51625
51,남,56737
51,여,53714
52,남,58812
52,여,55647
53,남,60655
53,여,57376
54,남,62215
54,여,58794
55,남,63435
55,여,59787
56,남,64278
56,여,60302
57,남,64775
57,여,60362
58,남,64953
58,여,60002
59,남,64891
59,여,59307
60,남,64742
60,여,58360
61,남,49285
61,여,42731
62,남,49576
62,여,41922
63,남,49925
63,여,41312
64,남,
